product_id,product_name,category,brand,cost_price,unit_price,margin_pct,profit_per_unit,price_range,margin_category
P0000,brand a shoulder,electronics,brand c,52.75,64.65,18.41,11.900000000000006,budget,medium margin
P0001,brand a responsibility,electronics,brand d,11.2,13.26,15.54,2.0600000000000005,budget,medium margin
P0002,brand b small,electronics,brand b,144.62,250.37,42.24,105.75,mid Range,high margin
P0003,brand d continue,apparel,brand d,119.91,219.25,45.31,99.34,mid Range,high margin
P0004,brand a indeed,apparel,brand d,71.35,88.47,19.35,17.120000000000005,budget,medium margin
P0005,brand c cut,electronics,brand a,79.09,112.55,29.73,33.459999999999994,mid Range,high margin
P0006,brand c air,home & kitchen,brand a,147.3,233.12,36.81,85.82,mid Range,high margin
P0007,brand d state,electronics,brand c,166.73,276.22,39.64,109.49000000000004,mid Range,high margin
P0008,brand c growth,apparel,brand a,13.94,18.19,23.36,4.250000000000002,budget,medium margin
P0009,brand c keep,electronics,brand b,173.96,250.87,30.66,76.91,mid Range,high margin
P0010,brand d reveal,home & kitchen,brand b,77.19,99.46,22.39,22.269999999999996,budget,medium margin
P0011,brand c laugh,electronics,brand b,109.16,144.13,24.26,34.97,mid Range,medium margin
P0012,brand d cell,personal care,brand c,197.96,331.78,40.33,133.81999999999996,mid Range,high margin
P0013,brand b seat,home & kitchen,brand a,49.66,56.06,11.42,6.400000000000006,budget,medium margin
P0014,brand c argue,personal care,brand c,17.91,34.42,47.97,16.51,budget,high margin
P0015,brand c peace,apparel,brand d,82.15,157.98,48.0,75.82999999999998,mid Range,high margin
P0016,brand d crime,apparel,brand c,32.23,57.06,43.52,24.830000000000005,budget,high margin
P0017,brand c firm,personal care,brand d,75.59,151.0,49.94,75.41,mid Range,high margin
P0018,brand b management,personal care,brand a,152.38,285.71,46.67,133.32999999999998,mid Range,high margin
P0019,brand b left,apparel,brand d,121.3,175.44,30.86,54.14,mid Range,high margin
P0020,brand d house,home & kitchen,brand a,137.66,165.62,16.88,27.960000000000008,mid Range,medium margin
P0021,brand c shake,home & kitchen,brand a,62.23,77.31,19.51,15.080000000000005,budget,medium margin
P0022,brand a much,home & kitchen,brand b,104.0,124.36,16.37,20.36,mid Range,medium margin
P0023,brand c believe,apparel,unknown,77.91,97.03,19.71,19.120000000000005,budget,medium margin
P0024,brand a black,home & kitchen,brand d,8.8,17.04,48.36,8.239999999999998,budget,high margin
P0025,brand c resource,apparel,brand a,51.97,83.7,37.91,31.730000000000004,budget,high margin
P0026,brand a fund,electronics,brand d,164.12,324.99,49.5,160.87,mid Range,high margin
P0027,brand b probably,apparel,brand d,189.64,236.79,19.91,47.150000000000006,mid Range,medium margin
P0028,brand d degree,apparel,brand b,144.03,210.15,31.46,66.12,mid Range,high margin
P0029,brand c stuff,personal care,brand d,28.6,37.24,23.2,8.64,budget,medium margin
P0030,brand c war,electronics,brand b,119.75,132.5,9.62,12.75,mid Range,low margin
P0031,brand a responsibility,apparel,brand a,181.56,340.18,46.63,158.62,mid Range,high margin
P0032,brand a role,apparel,brand c,135.45,175.11,22.65,39.660000000000025,mid Range,medium margin
P0033,brand b training,personal care,brand b,158.0,288.63,45.26,130.63,mid Range,high margin
