product_id,product_name,category,brand,cost_price,unit_price,margin_pct
P0000,BrandA Shoulder,Electronics,BrandC,52.75,64.65,18.41
P0001,BrandA Responsibility,Electronics,BrandD,11.2,13.26,15.54
P0002,BrandB Small,Electronics,BrandB,144.62,250.37,42.24
P0003,BrandD Continue,Apparel,BrandD,119.91,219.25,45.31
P0004,BrandA Indeed,Apparel,BrandD,71.35,88.47,19.35
P0005,BrandC Cut,Electronics,BrandA,79.09,112.55,29.73
P0006,BrandC Air,Home & Kitchen,BrandA,147.3,233.12,36.81
P0007,BrandD State,Electronics,BrandC,166.73,276.22,39.64
P0008,BrandC Growth,Apparel,BrandA,13.94,18.19,23.36
P0009,BrandC Keep,Electronics,BrandB,173.96,250.87,30.66
P0010,BrandD Reveal,Home & Kitchen,BrandB,77.19,99.46,22.39
P0011,BrandC Laugh,Electronics,BrandB,109.16,144.13,24.26
P0012,BrandD Cell,Personal Care,BrandC,197.96,331.78,40.33
P0013,BrandB Seat,Home & Kitchen,BrandA,49.66,56.06,11.42
P0014,BrandC Argue,Personal Care,BrandC,17.91,34.42,47.97
P0015,BrandC Peace,Apparel,BrandD,82.15,157.98,48.0
P0016,BrandD Crime,Apparel,BrandC,32.23,57.06,43.52
P0017,BrandC Firm,Personal Care,BrandD,75.59,151.0,49.94
P0018,BrandB Management,Personal Care,BrandA,152.38,285.71,46.67
P0019,BrandB Left,Apparel,BrandD,121.3,175.44,30.86
P0020,BrandD House,Home & Kitchen,BrandA,137.66,165.62,16.88
P0021,BrandC Shake,Home & Kitchen,BrandA,62.23,77.31,19.51
P0022,BrandA Much,Home & Kitchen,BrandB,104.0,124.36,16.37
P0023,BrandC Believe,Apparel,,77.91,97.03,19.71
P0024,BrandA Black,Home & Kitchen,BrandD,8.8,17.04,48.36
P0025,BrandC Resource,Apparel,BrandA,51.97,83.7,37.91
P0026,BrandA Fund,Electronics,BrandD,164.12,324.99,49.5
P0027,BrandB Probably,Apparel,BrandD,189.64,236.79,19.91
P0028,BrandD Degree,Apparel,BrandB,144.03,210.15,31.46
P0029,BrandC Stuff,Personal Care,BrandD,28.6,37.24,23.2
P0030,BrandC War,Electronics,BrandB,119.75,132.5,9.62
P0031,BrandA Responsibility,Apparel,BrandA,181.56,340.18,46.63
P0032,BrandA Role,Apparel,BrandC,135.45,175.11,22.65
P0033,BrandB Training,Personal Care,BrandB,158.0,288.63,45.26
P0034,BrandB Draw,Electronics,BrandA,133.5,189.42,29.52
P0035,BrandD Sure,Personal Care,BrandA,136.31,270.68,49.64
P0036,BrandA Beautiful,Electronics,BrandD,147.0,267.62,45.07
P0037,BrandA One,Apparel,BrandB,42.09,63.29,33.5
P0038,BrandD The,Apparel,BrandC,95.21,179.66,47.01
P0039,BrandA Professor,Personal Care,BrandA,14.86,29.71,49.98
P0040,BrandA Identify,Electronics,BrandB,37.43,57.53,34.94
P0041,BrandB Prevent,Personal Care,BrandA,37.1,40.88,9.25
P0042,BrandD Outside,Home & Kitchen,BrandD,60.62,104.69,42.1
P0043,BrandD Who,Apparel,,62.86,123.95,49.29
P0044,BrandA Argue,Home & Kitchen,,14.78,22.6,34.6
P0045,BrandB Tend,Electronics,BrandA,171.01,198.66,13.92
P0046,BrandA Usually,Apparel,BrandD,28.38,53.96,47.41
P0047,BrandB Son,Electronics,BrandA,86.75,141.0,38.48
P0048,BrandC Carry,Home & Kitchen,BrandB,135.6,187.5,27.68
P0049,BrandC Bit,Personal Care,,135.98,186.29,27.01
P0050,BrandC Marriage,Electronics,BrandA,94.37,188.61,49.97
P0051,BrandA Table,Electronics,BrandB,103.65,126.37,17.98
P0052,BrandC Agency,Electronics,BrandB,77.06,95.71,19.49
P0053,BrandC Decision,Electronics,BrandC,186.69,222.76,16.19
P0054,BrandB Our,Home & Kitchen,BrandA,178.49,315.6,43.44
P0055,BrandB Day,Home & Kitchen,BrandC,122.94,214.63,42.72
P0056,BrandB Operation,Home & Kitchen,BrandD,53.97,103.48,47.84
P0057,BrandA Majority,Electronics,BrandD,166.72,190.01,12.26
P0058,BrandC Recently,Apparel,,36.51,54.68,33.23
P0059,BrandD Mother,Electronics,BrandA,19.67,37.27,47.22
P0060,BrandB Society,Electronics,BrandC,118.59,146.26,18.92
P0061,BrandB Off,Electronics,BrandC,76.11,147.64,48.45
P0062,BrandA Five,Home & Kitchen,BrandB,138.0,234.63,41.18
P0063,BrandC Congress,Personal Care,BrandB,185.52,243.6,23.84
P0064,BrandB Important,Apparel,BrandD,9.83,17.33,43.28
P0065,BrandC Moment,Personal Care,BrandB,57.03,103.15,44.71
P0066,BrandA Computer,Personal Care,BrandA,172.43,224.19,23.09
P0067,BrandD Indeed,Home & Kitchen,BrandC,165.0,310.89,46.93
P0068,BrandB Nice,Electronics,BrandB,82.7,111.71,25.97
P0069,BrandA Wait,Home & Kitchen,BrandC,130.09,189.89,31.49
P0070,BrandC Quality,Electronics,,176.02,235.0,25.1
P0071,BrandC Tough,Electronics,BrandA,121.33,171.21,29.13
P0072,BrandC Finish,Personal Care,BrandA,80.11,129.69,38.23
P0073,BrandC Help,Electronics,BrandD,5.33,10.3,48.25
P0074,BrandB No,Home & Kitchen,BrandD,18.64,31.65,41.11
P0075,BrandC Better,Home & Kitchen,BrandA,145.35,199.17,27.02
P0076,BrandC Economy,Personal Care,BrandC,83.47,114.03,26.8
P0077,BrandB Need,Apparel,BrandD,134.66,194.08,30.62
P0078,BrandB Oil,Home & Kitchen,BrandD,111.85,123.08,9.12
P0079,BrandC Southern,Apparel,BrandD,158.22,260.43,39.25
P0080,BrandC Market,Personal Care,BrandD,91.22,117.89,22.62
P0081,BrandD Need,Apparel,BrandA,60.34,102.43,41.09
P0082,BrandC Society,Electronics,BrandB,136.2,177.36,23.21
P0083,BrandB Weight,Apparel,BrandA,14.01,27.82,49.64
P0084,BrandA Head,Personal Care,BrandD,177.8,287.7,38.2
P0085,BrandD Officer,Personal Care,BrandD,52.58,88.88,40.84
P0086,BrandA Born,Electronics,BrandD,47.67,86.94,45.17
P0087,BrandD Accept,Electronics,BrandB,183.91,222.39,17.3
P0088,BrandB Compare,Personal Care,BrandC,190.26,361.93,47.43
P0089,BrandD Answer,Personal Care,BrandB,150.01,229.1,34.52
P0090,BrandC Chance,Apparel,BrandC,154.33,242.17,36.27
P0091,BrandB Add,Home & Kitchen,BrandD,20.11,27.29,26.31
P0092,BrandC Half,Home & Kitchen,BrandC,179.14,210.05,14.72
P0093,BrandB Present,Apparel,BrandD,140.32,243.56,42.39
P0094,BrandA President,Personal Care,BrandD,69.52,105.62,34.18
P0095,BrandA So,Apparel,BrandD,80.95,145.13,44.22
P0096,BrandA Drive,Personal Care,BrandD,6.15,8.71,29.39
P0097,BrandD Might,Personal Care,BrandB,100.2,134.83,25.68
P0098,BrandD Officer,Electronics,BrandD,70.55,120.73,41.56
P0099,BrandD Indicate,Apparel,BrandD,184.31,365.42,49.56
P0100,BrandA Off,Personal Care,BrandA,21.37,31.75,32.69
P0101,BrandD Fall,Apparel,,55.73,77.72,28.29
P0102,BrandD Improve,Home & Kitchen,BrandC,153.44,221.14,30.61
P0103,BrandD Or,Home & Kitchen,BrandA,96.71,171.58,43.64
P0104,BrandA Among,Home & Kitchen,BrandB,131.78,237.61,44.54
P0105,BrandA Same,Electronics,BrandB,43.88,49.07,10.58
P0106,BrandB Follow,Apparel,BrandB,97.34,117.1,16.87
P0107,BrandB Never,Personal Care,,154.55,193.34,20.06
P0108,BrandA Make,Apparel,BrandC,26.08,29.29,10.96
P0109,BrandC Break,Personal Care,,188.59,241.11,21.78
P0110,BrandB Not,Electronics,BrandC,170.81,280.19,39.04
P0111,BrandA First,Electronics,BrandC,108.89,184.61,41.02
P0112,BrandA Represent,Home & Kitchen,BrandA,170.67,314.05,45.66
P0113,BrandA Company,Personal Care,BrandC,128.94,238.0,45.82
P0114,BrandB You,Personal Care,BrandB,148.09,291.58,49.21
P0115,BrandC Piece,Personal Care,BrandD,89.94,158.11,43.12
P0116,BrandC Sometimes,Home & Kitchen,BrandB,166.99,196.71,15.11
P0117,BrandD Hair,Apparel,BrandD,116.12,197.56,41.22
P0118,BrandC Manager,Electronics,BrandD,170.94,216.01,20.86
P0119,BrandB Quite,Home & Kitchen,BrandC,71.37,135.05,47.15
P0120,BrandC Arm,Electronics,BrandB,21.69,37.92,42.8
P0121,BrandD Stand,Apparel,BrandD,130.95,201.89,35.14
P0122,BrandA Loss,Electronics,BrandC,48.21,83.05,41.95
P0123,BrandC Word,Home & Kitchen,BrandD,112.93,159.16,29.05
P0124,BrandC Every,Home & Kitchen,BrandD,57.83,76.7,24.6
P0125,BrandA Off,Apparel,BrandC,28.31,44.79,36.79
P0126,BrandB History,Apparel,BrandB,149.03,201.02,25.86
P0127,BrandC Another,Electronics,BrandB,62.77,89.43,29.81
P0128,BrandC Look,Electronics,BrandB,58.49,115.63,49.42
P0129,BrandC Let,Apparel,BrandD,25.0,27.78,10.01
P0130,BrandC Trial,Personal Care,BrandD,90.89,115.06,21.01
P0131,BrandA Gas,Home & Kitchen,BrandD,27.25,31.58,13.71
P0132,BrandD Ever,Electronics,BrandA,34.59,63.3,45.36
P0133,BrandC Physical,Electronics,BrandB,28.1,50.24,44.07
P0134,BrandB Step,Personal Care,BrandD,182.16,249.13,26.88
P0135,BrandD Especially,Home & Kitchen,BrandA,123.88,218.78,43.38
P0136,BrandB Treat,Apparel,BrandC,133.78,166.07,19.44
P0137,BrandB Money,Electronics,BrandB,5.52,8.31,33.57
P0138,BrandD Prove,Home & Kitchen,BrandA,50.14,87.06,42.41
P0139,BrandD Own,Electronics,BrandB,185.16,334.96,44.72
P0140,BrandB Community,Personal Care,BrandA,111.19,187.12,40.58
P0141,BrandC Hour,Apparel,BrandA,16.63,30.16,44.86
P0142,BrandC Factor,Personal Care,BrandA,96.4,132.42,27.2
P0143,BrandD Dark,Home & Kitchen,BrandD,90.36,148.03,38.96
