order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount
O00000,2024-01-31,C0125,P1086,,Online,2,80.63,0.05,153.2
O00001,2024-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0
O00002,2023-08-29,C0653,P0659,,Online,2,218.6,0.1,393.48
O00003,2024-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82
O00004,2024-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94
O00005,2024-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59
O00006,2023-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24
O00007,2023-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51
O00008,2024-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17
O00009,2023-12-02,C0174,P0183,,Online,3,304.66,0.0,913.98
O00010,2023-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65
O00011,2024-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84
O00012,2024-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55
O00013,2024-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64
O00014,2024-11-18,C0228,P0530,,Online,2,274.32,0.0,548.64
O00015,2024-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16
O00016,2023-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92
O00017,2025-01-19,C0604,P1096,,Online,1,214.66,0.2,171.73
O00018,2025-03-05,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88
O00019,2023-04-28,C0616,P0255,,Online,10,21.15,0.2,169.20000000000002
O00020,2024-03-15,C0471,P0647,,Online,2,139.35,0.1,250.83
O00021,2023-11-27,C0511,P0933,,Online,2,25.25,0.1,45.45
O00022,2024-06-28,C0681,P0070,S019,In-Store,2,235.0,0.0,470.0
O00023,2024-10-10,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29
